"Abiotrophia" "Acetitomaculum" "Acidaminobacter" "Actinobaculum" "Actinotignum" "Aggregatibacter" "Akkermansia" "Alkalibacter" "Alloprevotella" "Alloscardovia" "Anaeroglobus" "Anaeroplasma" "Anaerosolibacter" "Anaerostipes" "Anaerovorax" "Arcobacter" "Arthrobacter" "Azorhizophilus" "Bavariicoccus" "Bifidobacterium" "Brachyspira" "Bulleidia" "Butyrivibrio" "Carnobacterium" "Catabacter" "Cedecea" "Christensenella" "Cloacibacterium" "Clostridium.XI" "Clostridium.XlVb" "Coriobacterium" "Cosenzaea" "Cronobacter" "Desulfohalobium" "Dysgonomonas" "Erwinia" "Erysipelothrix" "Erysipelotrichaceae_incertae_sedis" "Facklamia" "Falsiporphyromonas" "Finegoldia" "Fusicatenibacter" "Gardnerella" "Geopsychrobacter" "Haemophilus" "Herbaspirillum" "Howardella" "Hungatella" "Intestinibacter" "Kandleria" "Lactococcus" "Lawsonia" "Leclercia" "Lelliottia" "Mangrovibacter" "Mangrovibacterium" "Melissococcus" "Meniscus" "Mesorhizobium" "Methanobrevibacter" "Methanosphaera" "Methylobacterium" "Mobiluncus" "Moellerella" "Natranaerovirga" "Neisseria" "Obesumbacterium" "Odoribacter" "Oscillibacter" "Parabacteroides" "Parvimonas" "Pelomonas" "Pelospora" "Peptostreptococcus" "Pilibacter" "Piscinibacter" "Plesiomonas" "Porphyromonas" "Propionispora" "Providencia" "Pseudomonas" "Pseudoramibacter" "Pseudoxanthomonas" "Puniceicoccus" "Ralstonia" "Renibacterium" "Romboutsia" "Rosenbergiella" "Rothia" "Samsonia" "Schwartzia" "Sharpea" "Sphingomonas" "Sporacetigenium" "Subdoligranulum" "Sutterella" "Tepidimicrobium" "Terrisporobacter" "Varibaculum" "Victivallis" "batchid" "sbp" "sex" "race" "age"
"1" 0 3 1 0 0 0 490 0 95 0 0 0 0 2067 44 0 0 0 0 1818 0 0 121 0 26 0 29 0 6 42 16 0 0 0 0 0 0 0 0 0 0 1263 2 0 414 1 0 112 160 0 0 0 1 0 0 0 0 0 0 95 0 0 0 0 0 0 0 1476 1697 2527 0 0 0 0 2 0 0 3 0 0 33 0 0 1 0 0 161 0 0 0 0 0 0 0 12 2133 0 147 0 161 "0" 93.98 "0" "1" 56
"106" 0 1 0 0 0 0 76 0 6 0 1 0 0 298 9 0 0 0 0 102 0 0 375 0 0 0 41 0 0 647 1 0 0 0 0 0 0 3 0 0 0 689 0 0 2 0 0 12 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1296 1707 9637 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95 0 0 0 0 0 0 0 5 58 0 0 0 0 "0" 141.02 "1" "1" 58
"211" 0 5 1 0 0 0 3 0 11 0 2 0 0 1644 1 0 0 0 0 4 0 0 419 0 0 0 0 0 0 137 4 0 0 0 0 0 0 14 0 0 0 4430 3 0 8 0 0 15 44 0 14 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 209 43162 4 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 362 0 4 0 0 0 0 0 5 8 0 23 0 0 "0" 123.74 "1" "1" 56
"315" 0 3 0 0 0 0 6 0 6 0 0 3 0 2056 0 0 0 0 0 21 0 0 1647 0 0 0 0 0 2 208 0 0 0 0 0 0 0 4 0 0 10 9573 0 0 2 0 0 523 478 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 354 27 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 20 0 1 1 0 0 0 0 8 11 0 0 0 0 "0" 94.94 "1" "0" 55
"527" 0 3 5 0 0 0 2515 0 12 0 0 0 0 101 75 3 0 0 0 1377 0 0 1 0 20 0 73 0 0 243 8 0 0 0 0 0 0 0 0 1 0 517 3 0 11 0 1 114 33 0 4 10 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1436 5460 4664 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 8 659 0 0 0 0 "0" 131.42 "1" "1" 49
"538" 2 1 0 0 0 0 629 0 6 0 0 0 0 78 14 0 0 0 1 4148 0 0 24 0 0 0 25 0 0 417 2 0 0 0 0 0 0 19 0 0 0 3857 3 0 9 0 1 44 6 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 643 2543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 16 4483 0 0 0 0 "0" 102.62 "1" "1" 48
"549" 2 0 2 0 0 0 9582 0 5 0 1 0 0 291 50 0 0 0 0 12479 0 0 9 0 7 0 87 0 8 15 18 0 0 0 0 0 0 11 0 0 3 167 17 0 38 0 0 24 29 0 29 0 0 0 1 0 0 0 0 146 0 0 4 0 0 1 0 2961 10261 1472 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 288 1 0 0 0 0 0 0 17 5 0 10 0 244 "0" 107.42 "1" "0" 54
"560" 0 5 0 0 0 0 10 0 12 0 0 0 0 2494 0 0 0 0 0 1 0 0 341 0 0 0 0 0 0 347 0 0 0 0 0 0 0 77 0 0 0 5238 0 0 65 0 3 17 64 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 227 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1760 0 4 0 0 0 0 4 13 4658 0 0 0 0 "0" 139.1 "0" "1" 59
"2" 0 9 2 0 0 0 1517 0 2 0 2 0 0 1087 31 0 0 0 0 38 0 0 477 0 0 0 31 0 0 240 4 0 0 0 0 0 0 0 0 0 0 2001 0 0 2 0 0 16 0 0 18 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1609 2740 2734 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 455 3 0 0 0 21 "0" 106.46 "0" "1" 58
"13" 0 15 0 0 0 0 106 0 2011 0 0 0 0 954 20 0 0 0 0 158 0 0 27 0 4 0 49 0 9 164 1 0 0 0 0 0 0 0 0 0 0 1359 0 0 16 0 0 58 0 0 22 0 0 0 0 0 0 0 0 289 0 0 0 0 7 0 0 1066 4159 3732 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 177 0 0 0 0 0 0 0 20 26 0 0 0 1172 "0" 112.22 "0" "1" 58
